,as_of_year,state_code,applicant_income,loan_amount,conventional_loans,FHA_loans,VA_loans,FSA_RHS_loans,purchase,improvement,refinancing,multifamily,loans_originated,loans_approved_not_originated,loans_denied,other_loans,race_black,race_other,race_white,race_msrpd,subprime,subprime_originated,subprime_amount,subprime_amount_originated,total
2,1999,27,24253861.87270170,35117373.0,347426,30409,6902,1452,150644,38683,196170,692,204171,27402,62807,91809,7413,16224,251168,111384,66642,14433,5222689.0,1216036.0,386189
3,1999,37,40949463.57285390,63116317.0,691304,36006,20591,1753,360823,39492,348738,601,309218,80304,201421,158711,100947,33796,378911,236000,200282,43725,13711273.0,3268984.0,749654
4,1999,45,20249291.713441400,29577183.0,372066,11812,6993,935,192123,18601,180807,275,142454,41724,127595,80033,70348,9279,185190,126989,115070,22363,7089495.0,1444289.0,391806
5,1999,51,36305317.78904610,57524782.0,449783,66448,35079,808,253279,51459,247000,380,269319,36632,96970,149197,53134,32884,273394,192706,104443,24067,7202481.0,1712784.0,552118
0,2000,1,13240627.643232900,17668043.0,236631,22526,5234,656,157156,21307,86372,211,112393,19120,78828,54706,39755,5196,134369,85727,53457,12097,3147889.0,692390.0,265047
1,2000,13,38421252.55224450,58948512.0,525906,69962,14138,923,336561,49032,224995,334,248664,45895,148615,167755,99064,28311,245910,237644,165512,32964,11896676.0,2600464.0,610929
2,2000,27,21966162.569602300,30986568.0,307486,23405,3826,1168,147417,42119,145777,570,172838,23760,61055,78232,7842,14821,206222,107000,74011,14268,5870026.0,1247627.0,335885
3,2000,37,32454224.348490900,49558451.0,521477,46467,12406,1121,325847,37658,217566,379,235025,59059,170569,116818,74640,28912,267164,210755,148952,34834,10116983.0,2577780.0,581471
4,2000,45,17016510.538600400,24676651.0,296855,16211,4186,621,167417,18391,131891,166,111931,30320,110891,64731,49701,7053,131095,130024,100001,17655,6190446.0,1282828.0,317873
5,2000,51,32037649.935792800,48024237.0,386809,59705,21029,707,262146,52294,153568,239,216654,33233,101374,116989,45095,31429,209695,182031,107449,20704,6731999.0,1472895.0,468250
0,2001,1,19916898.853511000,27908665.060348400,297694,23714,7335,707,131421,19356,178346,327,158259,19975,79079,72137,36035,5742,173750,113923,61041,11730,4154903.0,798486.0,329450
1,2001,13,63866917.303226900,101451823.0,728565,98161,22703,840,323413,46042,480321,493,409956,46601,163235,230477,112413,41765,362361,333730,178552,32986,15261030.0,3174229.0,850269
2,2001,27,41211404.94640160,67562546.0,529804,28745,5467,1087,151170,37647,375539,747,322931,28092,74905,139175,9015,22794,356943,176351,92026,17122,9328737.0,1888821.0,565103
3,2001,37,49692585.990507300,79533893.0,664794,49011,21501,878,293321,34995,407378,490,364069,54582,153231,164302,68149,30076,358275,279684,138446,31725,10517491.0,2380279.0,736184
4,2001,45,24554045.646897100,37798517.0,354882,12984,6581,693,144965,15973,214020,182,166314,25537,96534,86755,38245,8628,170272,157995,92093,15949,6465151.0,1189128.0,375140
5,2001,51,59040813.861793000,97640251.0,623588,79522,37333,551,278291,46415,415922,366,388259,41667,110666,200402,53789,53432,334786,298987,131752,24209,10978693.0,2225793.0,740994
0,2002,1,22947537.771467300,33416465.0,311341,24599,10262,656,114366,17391,214807,294,166953,23639,64655,91611,36764,8338,190417,111339,73722,12751,5558372.0,976687.0,346858
1,2002,13,75117381.46969980,117297056.0,780004,89119,25129,714,297644,37143,559697,482,442140,54669,135212,262945,122652,53741,404507,314066,177070,38124,17853005.0,4181697.0,894966
2,2002,27,52362643.56368460,88779604.0,610955,25528,6151,1099,158008,29039,455840,846,370220,39849,69028,164636,10666,29733,422892,180442,110660,23840,13285304.0,3020880.0,643733
3,2002,37,62008212.89223490,94700061.0,710812,52578,24867,857,268364,28581,491748,421,399967,56783,137894,194470,69460,36516,400980,282158,149481,33191,12801341.0,2891249.0,789114
4,2002,45,28366263.22983170,42665464.0,351346,13661,8399,521,125879,11922,235930,196,181113,25929,74991,91894,37126,10899,186751,139151,84458,15049,7160127.0,1339694.0,373927
5,2002,51,79665805.40489130,134583155.0,777708,72279,38713,726,288240,37581,563151,454,482498,51913,112009,243006,61674,77498,410156,340098,149329,30840,15493213.0,3557453.0,889426
0,2003,1,32039336.95843430,47926926.0,408076,31357,15970,1193,132428,18234,305635,299,217827,29265,82807,126697,60293,12410,293810,90083,97580,20071,8726066.0,1816627.0,456596
1,2003,13,92335323.99282560,158586903.0,982280,109437,39579,1965,349327,32973,750465,496,592158,58087,147148,335868,185425,80697,601194,265945,173083,52022,20391570.0,6584190.0,1133261
2,2003,27,66033148.511051600,126197002.0,808101,27180,7546,1467,179371,30022,633897,1004,476059,43316,93083,231836,15488,45268,606895,176643,137917,36323,19066557.0,5362393.0,844294
3,2003,37,80049863.84635570,129619016.0,894291,68024,45948,1282,293515,26523,689039,468,530341,59515,156865,262824,102983,53816,599021,253725,177542,44543,17636315.0,4521041.0,1009545
4,2003,45,36646338.14342200,58679417.0,446424,17812,13604,894,150441,12716,315339,238,241042,29362,83724,124606,55676,19297,284145,119616,91789,20394,8633098.0,1981784.0,478734
5,2003,51,109581336.75127000,204254280.0,1086317,84028,66050,1040,322956,40145,873888,446,672716,74608,127027,363084,108966,122477,660176,345816,170643,45433,21275012.0,6144034.0,1237435
0,2004,1,27125591.67252730,41228430.0,368886,23552,10524,1264,153726,26999,223501,0,162362,31081,86422,124361,68195,64584,230519,40928,130580,26211,11752929.0,2391652.0,404226
1,2004,13,76666296.99801410,133708977.0,891839,75631,25552,707,412932,55149,525648,0,440263,60749,190653,302064,218010,187776,477994,109949,300027,81697,35027135.0,9706895.0,993729
2,2004,27,44494747.34303190,90015550.0,555189,16155,3803,1142,198723,39018,338548,0,279676,35380,83173,178060,18288,103004,400861,54136,150240,40405,22538459.0,6245232.0,576289
3,2004,37,59634799.98350980,99740519.0,723044,44448,27463,1179,334249,40266,421619,0,361733,48283,166511,219607,112433,148990,456153,78558,219268,52752,22015281.0,5167682.0,796134
4,2004,45,29518899.786134100,47861756.0,366838,13919,9074,859,175342,21284,194064,0,171509,24502,82297,112382,60310,65694,221987,42699,108312,25054,10469463.0,2389872.0,390690
5,2004,51,83951623.94952840,172392573.0,925318,41000,29428,1186,383357,64699,548876,0,481904,58089,148618,308321,127773,226825,517943,124391,236010,66784,31178047.0,9707688.0,996932
0,2005,1,29848419.20840080,45644042.0,394247,19224,7482,1252,181402,34548,206255,0,166148,27569,93095,135393,77347,59830,242856,42172,115082,25170,11004748.0,2329150.0,422205
1,2005,13,94224090.01189080,159463528.0,1077206,57708,18177,648,530418,66939,556382,0,480921,65119,227845,379854,278802,227060,531285,116592,311337,84009,38478220.0,9694102.0,1153739
2,2005,27,50687099.53034170,98960131.0,598872,11034,2232,1182,237046,41006,335268,0,277635,36238,94933,204514,24525,105511,428205,55079,152154,39791,23501116.0,5880763.0,613320
3,2005,37,69456668.64458020,115626707.0,826196,36385,21113,1008,405181,50293,429228,0,394927,55204,180240,254331,131569,162471,513530,77132,203132,50617,22097807.0,5251350.0,884702
4,2005,45,36576711.94099370,60416459.0,426762,11240,7403,748,217420,26182,202551,0,191245,26233,91529,137146,68130,76439,257970,43614,107833,26365,11577642.0,2740837.0,446153
5,2005,51,96017434.41177120,213999209.0,1034662,22361,15288,1144,424366,79509,569580,0,515562,62318,161169,334406,152659,235302,568294,117200,208736,71181,33410432.0,12310403.0,1073455
0,2006,1,31451261.649983500,47098433.0,386148,17405,7228,935,183333,35301,193082,0,168942,24485,85356,132933,72890,59230,232461,47135,85112,19917,8608390.0,1939490.0,411716
1,2006,13,100151852.1552330,163961738.0,1086106,48166,17046,563,558440,67543,525898,0,470723,71566,231919,377673,290138,215419,502921,143403,245503,58061,32346199.0,7159647.0,1151881
2,2006,27,47233272.77400520,86089351.0,524676,10233,1868,1085,211728,40134,286000,0,231397,38340,90559,177566,23838,93474,352067,68483,105978,23919,17020224.0,3618301.0,537862
3,2006,37,75426274.93423680,120546011.0,828630,32487,20254,1078,434958,50222,397269,0,396544,58064,172313,255528,128743,153149,502076,98481,155655,39063,17906397.0,4294471.0,882449
4,2006,45,39502479.26275750,63671874.0,427341,10818,6990,463,224857,26237,194518,0,191359,28998,90317,134938,70149,71431,252744,51288,90444,21035,10317393.0,2351720.0,445612
5,2006,51,94398077.89961470,200847056.0,963537,18389,14477,1068,381223,77758,538490,0,443474,60190,164270,329537,156420,216654,493916,130481,186474,53197,32184763.0,9245502.0,997471
